cycle_idx,stepping_foot,foot_cycle,flags,Merged_distance,L_distance,R_distance,Merged_step_length,L_step_length,R_step_length,Merged_step_width,L_step_width,R_step_width,Merged_step_frames,L_step_frames,R_step_frames,Merged_stride_length,L_stride_length,R_stride_length,Merged_stride_frames,L_stride_frames,R_stride_frames,Merged_stance_frames,L_stance_frames,R_stance_frames,Merged_swing_frames,L_swing_frames,R_swing_frames,Merged_single_support_frames,L_single_support_frames,R_single_support_frames,Merged_double_support_frames,L_double_support_frames,R_double_support_frames
0,right,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,left,0,,,,,,,,,,,101,101,,,,,,,,,,,57,57,,,,,,,
2,right,1,,679.4912460125095,,679.4912460125095,313.5286841764614,,313.5286841764614,79.57626803315613,,79.57626803315613,95,,95,670.9781825578551,,670.9781825578551,196,,196,134,,134,62,,62,57,,57,77,,77
3,left,1,,664.5758225901579,664.5758225901579,,337.53749408564323,337.53749408564323,,72.66346090010185,72.66346090010185,,98,98,,652.7400316476485,652.7400316476485,,193,193,,134,134,,59,59,,62,62,,72,72,
4,right,2,,650.4664876771254,,650.4664876771254,291.8216578806177,,291.8216578806177,72.12676368007845,,72.12676368007845,95,,95,629.474243276664,,629.474243276664,193,,193,134,,134,59,,59,59,,59,75,,75
5,left,2,,617.6068439996491,617.6068439996491,,286.664094342842,286.664094342842,,79.63868544151583,79.63868544151583,,98,98,,576.5258369517994,576.5258369517994,,193,193,,140,140,,53,53,,59,59,,81,81,
6,right,3,,581.1048826471431,,581.1048826471431,252.38913481245245,,252.38913481245245,77.3405550453729,,77.3405550453729,92,,92,539.6817761201062,,539.6817761201062,190,,190,135,,135,55,,55,53,,53,82,,82
7,left,3,,529.6738787199967,529.6738787199967,,260.6611106457745,260.6611106457745,,73.81819495773182,73.81819495773182,,94,94,,514.1028414623213,514.1028414623213,,186,186,,131,131,,55,55,,55,55,,76,76,
8,right,4,,523.7244398757514,,523.7244398757514,244.5535650617223,,244.5535650617223,67.77780316027287,,67.77780316027287,94,,94,506.8501718043062,,506.8501718043062,188,,188,136,,136,52,,52,55,,55,81,,81
9,left,4,,530.1440026115222,530.1440026115222,,268.4331616357995,268.4331616357995,,71.58336501596038,71.58336501596038,,103,103,,511.89999436383766,511.89999436383766,,197,197,,140,140,,57,57,,52,52,,88,88,
10,right,5,,520.5419457620825,,520.5419457620825,263.7431656606669,,263.7431656606669,79.85558316471551,,79.85558316471551,97,,97,529.8326736278595,,529.8326736278595,200,,200,141,,141,59,,59,57,,57,84,,84
11,left,5,,535.431505779765,535.431505779765,,260.4532179669249,260.4532179669249,,65.3390989772511,65.3390989772511,,104,104,,528.1623394778061,528.1623394778061,,201,201,,140,140,,61,61,,59,59,,81,81,
12,right,6,,541.4449314558906,,541.4449314558906,239.13917782937378,,239.13917782937378,75.25223108769303,,75.25223108769303,99,,99,496.90298118587685,,496.90298118587685,203,,203,150,,150,53,,53,61,,61,89,,89
13,left,6,,498.74333514502075,498.74333514502075,,224.0062781291124,224.0062781291124,,79.99900499750017,79.99900499750017,,94,94,,461.59963631909704,461.59963631909704,,193,193,,140,140,,53,53,,53,53,,87,87,
