cycle_idx,stepping_foot,foot_cycle,flags,Merged_distance,L_distance,R_distance,Merged_step_length,L_step_length,R_step_length,Merged_step_width,L_step_width,R_step_width,Merged_step_frames,L_step_frames,R_step_frames,Merged_stride_length,L_stride_length,R_stride_length,Merged_stride_frames,L_stride_frames,R_stride_frames,Merged_double_step_length,L_double_step_length,R_double_step_length,Merged_double_step_frames,L_double_step_frames,R_double_step_frames,Merged_stance_frames,L_stance_frames,R_stance_frames,Merged_swing_frames,L_swing_frames,R_swing_frames,Merged_single_support_frames,L_single_support_frames,R_single_support_frames,Merged_double_support_frames,L_double_support_frames,R_double_support_frames
0,left,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,right,0,,,,,,,,,,,44,,44,,,,,,,,,,,,,,,,36,,36,,,,,,
2,left,1,,515.7679804108576,515.7679804108576,,202.44042534259327,202.44042534259327,,242.1563467826313,242.1563467826313,,117,117,,455.9605076100342,455.9605076100342,,161,161,,,,,,,,125,125,,36,36,,36,36,,89,89,
3,right,1,,454.51393584763684,,454.51393584763684,48.883849987533324,,48.883849987533324,272.1155873785924,,272.1155873785924,34,,34,208.8054845639836,,208.8054845639836,151,,151,,,,,,,130,,130,21,,21,36,,36,94,,94
4,right,2,ipsilateral_anchor,136.16735297092936,,136.16735297092936,,,,,,,,,,,,,,,,234.98605461601338,,234.98605461601338,73,,73,51,,51,22,,22,,,,51,,51
5,left,2,,370.08884640274755,370.08884640274755,,-48.15828964667429,-48.15828964667429,,314.99079087856995,314.99079087856995,,109,109,,183.53417583654553,183.53417583654553,,216,216,,,,,,,,188,188,,28,28,,22,22,,166,166,
6,left,3,ipsilateral_anchor,183.2346365568133,183.2346365568133,,,,,,,,,,,,,,,,,97.86575754573185,97.86575754573185,,209,209,,182,182,,27,27,,,,,182,182,
7,right,3,,449.03875914214416,,449.03875914214416,157.75585290459472,,157.75585290459472,277.2952339625474,,277.2952339625474,138,,138,166.020023864593,,166.020023864593,456,,456,,,,,,,435,,435,21,,21,27,,27,408,,408
8,left,4,,278.4978514477383,278.4978514477383,,90.36569770014592,90.36569770014592,,293.1330552908794,293.1330552908794,,108,108,,216.27267844320988,216.27267844320988,,246,246,,,,,,,,215,215,,31,31,,21,21,,194,194,
9,right,4,,296.1490147339746,,296.1490147339746,140.88147443768892,,140.88147443768892,301.74999070963156,,301.74999070963156,108,,108,196.01667672930267,,196.01667672930267,216,,216,,,,,,,192,,192,24,,24,31,,31,161,,161
10,left,5,,307.3069704582811,307.3069704582811,,77.84786378226798,77.84786378226798,,304.94000543145756,304.94000543145756,,117,117,,211.68447992472184,211.68447992472184,,225,225,,,,,,,,196,196,,29,29,,24,24,,172,172,
11,right,5,,303.5334463695481,,303.5334463695481,137.19748663422297,,137.19748663422297,309.5456352563417,,309.5456352563417,122,,122,194.032304323275,,194.032304323275,239,,239,,,,,,,213,,213,26,,26,29,,29,184,,184
12,left,6,,333.16655435499473,333.16655435499473,,79.18208894765608,79.18208894765608,,301.86546082963105,301.86546082963105,,116,116,,232.54079982876127,232.54079982876127,,238,238,,,,,,,,210,210,,28,28,,26,26,,184,184,
13,right,6,,425.71364718895705,,425.71364718895705,221.37822136857082,,221.37822136857082,283.79509235483283,,283.79509235483283,126,,126,351.1969611841766,,351.1969611841766,242,,242,,,,,,,218,,218,24,,24,28,,28,190,,190
